['45', '1']
['42', '1']
['193', '1']
['18', '1']
['67', '1']
['144', '1']
['167', '1']
['182', '1']
['144', '1']
['140', '1']
['138', '1']
['198', '1']
['193', '1']
['42', '1']
['5', '1']
['193', '1']
['198', '1']
['165', '1']
['84', '1']
['185', '1']
['177', '1']
['1', '1']
['31', '1']
['36', '1']
['67', '1']
['80', '1']
['156', '1']
['177', '1']
['196', '1']
['171', '1']
['199', '1']
['44', '1']
['30', '1']
['81', '1']
['55', '1']
['189', '1']
['4', '1']
['51', '1']
['141', '1']
['8', '1']
['10', '1']
['12', '1']
['50', '1']
['60', '1']
['61', '1']
['64', '1']
['65', '1']
['73', '1']
['77', '1']
['81', '1']
['83', '1']
['86', '1']
['90', '1']
['93', '1']
['94', '1']
['107', '1']
['108', '1']
['109', '1']
['145', '1']
['146', '1']
['155', '1']
['157', '1']
['158', '1']
['161', '1']
['166', '1']
['170', '1']
['172', '1']
['180', '1']
['183', '1']
['184', '1']
['33', '1']
['49', '1']
['52', '1']
['59', '1']
['143', '1']
['150', '1']
['152', '1']
['171', '1']
['181', '1']
['192', '1']
['120', '1']
['82', '1']
['159', '1']
['164', '1']
['169', '1']
['111', '1']
['40', '1']
['175', '1']
['4', '1']
['38', '1']
['40', '1']
['51', '1']
['113', '1']
['141', '1']
['47', '1']
['127', '1']
['135', '1']
['199', '1']
['197', '1']
['36', '1']
['42', '1']
['80', '1']
['6', '1']
['18', '1']
['19', '1']
['29', '1']
['32', '1']
['53', '1']
['56', '1']
['78', '1']
['121', '1']
['146', '1']
['154', '1']
['173', '1']
['178', '1']
['200', '1']
['20', '1']
['25', '1']
['43', '1']
['46', '1']
['57', '1']
['191', '1']
['2', '1']
['10', '1']
['39', '1']
['69', '1']
['145', '1']
['137', '1']
['47', '1']
['113', '1']
['165', '1']
['129', '1']
['156', '1']
['147', '1']
['28', '1']
['98', '1']
['99', '1']
['174', '1']
['187', '1']
['142', '1']
['73', '1']
['177', '1']
['168', '1']
['41', '1']
['188', '1']
['46', '1']
['156', '1']
['159', '1']
['161', '1']
['169', '1']
['170', '1']
['172', '1']
['189', '1']
['32', '1']
['27', '1']
['104', '1']
['123', '1']
['5', '1']
['119', '1']
['33', '1']
['133', '1']
['53', '1']
['87', '1']
['95', '1']
['136', '1']
['148', '1']
['129', '1']
['50', '1']
['76', '1']
['79', '1']
['157', '1']
['190', '1']
['166', '1']
['84', '1']
['175', '1']
['154', '1']
['196', '1']
['103', '1']
['124', '1']
['176', '1']
['41', '1']
['21', '1']
['23', '1']
['40', '1']
['80', '1']
['147', '1']
['14', '1']
['96', '1']
['179', '1']
['186', '1']
['28', '1']
['142', '1']
['9', '1']
['70', '1']
['72', '1']
['75', '1']
['118', '1']
['188', '1']
['174', '1']
['34', '1']
['19', '1']
['37', '1']
['84', '1']
['94', '1']
['106', '1']
['173', '1']
['61', '1']
['125', '1']
['195', '1']
['133', '1']
['139', '1']
['2', '1']
['10', '1']
['63', '1']
['107', '1']
['46', '1']
['152', '1']
['65', '1']
['199', '1']
['192', '1']
['145', '1']
['157', '1']
['181', '1']
['93', '1']
['118', '1']
['17', '1']
['167', '1']
['66', '1']
['64', '1']
['75', '1']
